project_id,source,report_no,project_name,sector,language,publication_date,approval_date,total_pages,sort_present,sort_pages,section_v_present,section_v_pages,other_risk_mentions,proposed_excision_pages,remaining_planning_pages,inclusion_status,exclusion_reason,doc_urls,register_url,notes
P-STP-YouthEmployment,PAD,PADMP00224,Sao Tome and Principe Youth Employment Opportunities Project,social protection / jobs,en,2026-07-07,2026-07-08,53,Y,17-18,Y,44-45,p42-43 procurement/economic appraisal (incidental),"17-18, 44-45",49,included,,,,WB P512332 (Phase 6 of MPA P512820); doc report_no PADMP00224 differs from mapping's PADHI01396; register = SORT p17-18 + Sec V p44-45
P-PER-ArequipaColca,PAD,PADHI01291,Peru Strengthening Priority Tourism Destination Arequipa-Colca,tourism,en,2026-06-16,2026-07-09,42,Y,7-8,Y,32-35,p32-33 Appraisal Summary Procurement/E&S sub-sections near-verbatim restate TWO scored risks and are now EXCISED (see notes) - no longer 'incidental'.,"7-8, 32-35",36,included,,,,"WB P511489; register = SORT p7-8 + Sec V p34-35 LEAK FOUND AND FIXED 2026-07-20 (src/audit_corpus.py flagged it during a first review pass, independently re-verified against the real PDF during a second pass before fixing - see results/corpus_audit_review_notes.md): PDF page 32 para 65 states 'The assessment revealed a lack of prior experience with World Bank or other MDB-financed operations in procurement' - a near-verbatim restatement of R03's scored fiduciary/procurement finding. The same page's paras 67-69 (continuing onto page 33) separately restate R04's scored E&S finding almost word for word ('the scope and nature of the planned interventions, the location of works in environmentally and culturally sensitive areas, and the limited institutional capacity of GORE Arequipa to manage risks in line with the ESF' vs. R04's description). This was previously logged as 'p30-33 appraisal summary risk discussion (incidental)' - that classification predates this session's stricter standard (established fixing P-KHM/P-SLE/P-BGD): a scored risk's finding restated in un-excised text is leakage regardless of section label, not a harmless incidental mention. FIXED: proposed_excision_pages extended from '7-8, 34-35' to '7-8, 32-35' (pages 32-33 added), remaining_planning_pages recalculated 42-6=36 (was 38), extract.py re-run, leak-checked clean afterward (verbatim R03/R04 description and mitigation fragments confirmed absent from the corrected data/processed/ text)."
P-MEX-SustainableValueChains,PAD,PADHI01452,Mexico Building Sustainable Value Chains Project,energy / value chains,en,2026-06-17,2026-07-10,43,Y,7-8,Y,33-34,"p28,p32 fiduciary/procurement appraisal (incidental)","7-8, 33-34",39,included,,,,WB P510818; NAFIN w/ sovereign guarantee; register = SORT p7-8 + Sec V p33-34
P-SRB-CompetitivenessJobs,PAD,PAD1176,Serbia Competitiveness and Jobs Project,private sector / competitiveness,en,2015-07-23,,108,Y,9-10; 30 (restated in Sec V),Y,30-32,"p54 DLI table, p94 capacity annex (incidental)","9-10, 30-32",103,included,,,,"WB P152104; closed 2019-06-30; SORT also restated in Sec V p30 - both in excision range. CORRECTED 2026-07-19: section_v_pages was 30-31, under-counted by one page - paras 69-71 (3 of 6 ground-truth risks) live on page 32, confirmed by direct PDF re-extraction. See data/ground_truth/P-SRB-CompetitivenessJobs.json notes."
P-ALB-CitizenServiceDelivery,PAD,PAD1344,Albania Citizen-Centric Service Delivery Project,public sector governance,en,2015-07-20,,91,Y,4,Y,27,p81 procurement risk annex (incidental),"4, 27",89,included,,,,WB P151972; closed 2020-12-31; Sec V ~1 page (paras 47-48) but enumerates risks + mitigations
P-REGION-AIM4Learning,PAD,PADMP00111,AIM4Learning / LEARN-ESA Regional Education Research Grant (Phase 5),education,en,2026-06-12,2026-06-12,42,Y,17,Y,37-38,"p13 learning agenda, p36 procurement (incidental)","17, 37-38",39,set_aside,"TA-only regional grant; Sec V ~357 words, all-Moderate ratings; thin/atypical risk profile - handle separately, not in the main pipeline",,,WB P512868; set aside per validation gate (5/6 cleared)
P-BFA-EconomicOpportunitiesResilience,PAD,PADHI01462,Burkina Faso Economic Opportunities for Resilience Project,social protection,en,2026-05-22,,51,Y,8-9,Y,35-36,,"8-9, 35-36",47,included,,https://documents1.worldbank.org/curated/en/099052726095539002/pdf/BOSIB-9b77474f-0575-4c43-a165-babff2ee4d7b.pdf,,"WB P511652. Prior text-only assessment (web_fetch, no PyMuPDF): 10-row SORT table (Political/Gov=Substantial, Macro=Substantial, Sector Strategies=Substantial, Technical=Moderate, Institutional=Moderate, Fiduciary=Substantial, E&S=Moderate, Stakeholders=Moderate, Other=High, Overall=Substantial); ""V. KEY RISKS"" narrative (paras 91-93) with 5 bulleted risks (political/governance, macroeconomic, sector strategy, fiduciary, other/insecurity). PAGE-CONFIRMED 2026-07-19: real PDF downloaded and scanned with PyMuPDF (verify_new_candidates.py, run on a machine with real internet access) then read forward page-by-page to the real boundary (this session). Real total_pages=51 (not the earlier unconfirmed 30+ guess). Key Risks narrative confirmed to span pages 35-36 only, ending cleanly at ""ANNEX 1. RESULTS FRAMEWORK"" on page 37. sort_pages=8 (front-matter datasheet). Uses @#&OPS marker template, consistent with prior assessment."
P-SLE-ConnectivityAgMarketInfra,PAD,PAD00248,Sierra Leone Connectivity and Agricultural Market Infrastructure Project,transport / agriculture,en,,2024-05-28,75,Y,10-11,Y,37-39,,"10-11, 37-39",70,included,,https://documents1.worldbank.org/curated/en/099050924094535381/pdf/BOSIB-c83ae70a-5a33-45ba-a77a-95ccca1d4fda.pdf,,"WB P178683. Prior text-only assessment (web_fetch, no PyMuPDF): ""VI. KEY RISKS"" narrative (paras 70-74, extra section before Key Risks) with 4 itemized risks (political/governance, macroeconomic, fiduciary, E&S). PAGE-CONFIRMED 2026-07-19: real total_pages=75 (far more than the ~27-30 estimated from the earlier truncated fetch - that estimate was reading printed/footer page numbers against a front-matter-offset raw PDF index, not a true total). Key Risks narrative confirmed pages 38-39 (V. GRIEVANCE REDRESS SERVICES immediately precedes it on the same page 38), ending cleanly at ""VII. RESULTS FRAMEWORK AND MONITORING"" on page 40. sort_pages=10 (front-matter datasheet; a second regex hit for 'SORT' on page 38 is a narrative cross-reference to the table, not a second table - not a separate excision target, already inside the 38-39 range). LEAKAGE + COMPLETENESS BUG FOUND AND FIXED 2026-07-19 (systematic boundary audit): page 37 ('D. Environmental and Social', paras 64-68) was NOT in the excision range, but para 74 of the actual Key Risks narrative explicitly cross-references it ('Both environment risk and social risk are rated as Substantial as indicated in section V.D') as the source of the E&S risk's detail - a more severe version of the Cambodia (P-KHM) bug, since here the register's own text points to the excluded page, not just a coincidental restatement. Confirmed page 37's specific risk content (environmental impacts, displacement/SEA-SH/elite capture/exclusion risks) was present verbatim in data/processed/P-SLE-ConnectivityAgMarketInfra.txt before the fix. Ground truth R04 was also enriched - it had been a one-sentence stub pointing to section V.D without containing that section's actual substance. Range widened to 37-39; extract.py re-run and re-verified leak-free. See data/ground_truth/P-SLE-ConnectivityAgMarketInfra.json notes."
P-KHM-BasicEducationImprovement,PAD,PADHI01117,Cambodia Basic Education Improvement Project,education,en,,,40,Y,9,Y,30-31,,"9, 30-31",37,included,,https://documents1.worldbank.org/curated/en/099081225092029814/pdf/BOSIB-d8efcebf-ebaf-4a92-b398-ff854a89e457.pdf,,"WB P508313. Mechanically passes the 4-point gate. Overall risk rating Moderate; only ONE SORT category (Environment and Social) is rated Substantial and narrated - genuinely a 1-risk register, not a truncation artifact. DECISION 2026-07-19 (Madhu): include as part of the short-register/hallucination-test subgroup (with PAK/JOR/MAR) - a thin true register is a deliberate RQ3 test of whether models over-generate risks not actually present in the source; precision on this subgroup is reported separately in Results, not pooled into headline numbers (see draft_intro_relatedwork_methodology.md Section III.A/F). PAGE-CONFIRMED 2026-07-19: real total_pages=40 (not the earlier unconfirmed 22 - that was a fetch-truncation artifact, not a real total). Key Risks narrative confirmed as a single page (31), ending cleanly at ""ANNEX 1. RESULTS FRAMEWORK"" on page 32. sort_pages=9 (front-matter datasheet). LEAKAGE BUG FOUND AND FIXED 2026-07-19 (a spot-check independent of the main corpus audit pass): page 30 (paras 73-76, under heading ""C. Environmental, Social and Legal Operational Policies"", immediately before the formal ""V. KEY RISKS"" heading on page 31) restates the SAME Environment and Social risk almost verbatim - ""The overall Environmental and Social (E&S) Risk is rated Substantial"" / ""project's social risk rating is Substantial ... Key risks include the potential exclusion of vulnerable groups ... child protection, occupational health and safety, labor issues, and Sexual Exploitation and Abuse"" - i.e. the same content as ground-truth R01, one page before the page that was actually excised. Confirmed via grep that this text was present verbatim in data/processed/P-KHM-BasicEducationImprovement.txt before the fix - a real leak into the file models are prompted with, and a particularly bad one for this specific document since it is part of the short-register/hallucination-test subgroup: a model given page 30's near-answer would not be genuinely inferring the register. This is the third instance of the same failure mode as the Serbia and SORT-table bugs (anchor-only page detection finds where a heading starts, not where the substantively-related content actually begins/ends) - worth a third mention in the paper's leakage-prevention section. No new ground-truth risk entry added (page 30 elaborates the same single E&S risk as R01, not a distinct SORT category); only the excision range widened to 30-31 and data/processed/ + data/risk_source_audit/ regenerated and re-verified leak-free."
P-MNG-ThirdEnergySector,PAD,PAD00114,Mongolia Third Energy Sector Project,energy,en,,,50,Y,9,Y,28-29,,"9, 28-29",47,included,,https://documents1.worldbank.org/curated/en/099111324065010834/pdf/P178190-b26dc518-1ea1-4b4d-b42a-3d0f4c09074a.pdf,,"WB P178190. Prior text-only assessment: ""VI. KEY RISKS"" narrative (paras 59-65) with 6 itemized risks (political/governance, macroeconomic, sector strategies, institutional capacity, financial management, procurement - fiduciary split into two narrated items). PAGE-CONFIRMED 2026-07-19: real total_pages=50 (close to the earlier estimate of 46). Key Risks narrative confirmed pages 28-29, ending cleanly at ""VII. RESULTS FRAMEWORK AND MONITORING"" on page 30. sort_pages=9 (front-matter datasheet, now confirmed - previously unconfirmed). References an earlier related PAD5623/P181555 (approved Sept 2024) as a prior phase, not independently checked."
